state,period,expenditure
Australia,YE December 2019,23075.24
Australia,YE March 2020,23426.69
Australia,YE June 2020,21622.44
Australia,YE September 2020,20399.40
Australia,YE December 2020,19563.89
Australia,YE March 2021,19502.49
Australia,YE June 2021,22142.06
Australia,YE September 2021,22663.82
Australia,YE December 2021,23818.80
Australia,YE March 2022,24963.01
Australia,YE June 2022,26642.48
Australia,YE September 2022,30460.26
Australia,YE December 2022,33877.07
Australia,YE March 2023,35713.41
Australia,YE June 2023,36365.93
Australia,YE September 2023,37309.59
Australia,YE December 2023,37282.82
Australia,YE March 2024,38920.32
Australia,YE June 2024,38882.49
Australia,YE September 2024,38287.26
Australia,YE December 2024,38850.41
Australia,YE March 2025,38508.66
Australia,YE June 2025,41239.76
New South Wales,YE December 2019,7578.26
New South Wales,YE March 2020,7567.00
New South Wales,YE June 2020,6972.90
New South Wales,YE September 2020,6236.72
New South Wales,YE December 2020,5984.01
New South Wales,YE March 2021,6133.34
New South Wales,YE June 2021,6995.40
New South Wales,YE September 2021,6862.24
New South Wales,YE December 2021,7055.17
New South Wales,YE March 2022,7077.09
New South Wales,YE June 2022,7546.48
New South Wales,YE September 2022,9083.79
New South Wales,YE December 2022,10322.60
New South Wales,YE March 2023,10982.54
New South Wales,YE June 2023,11072.06
New South Wales,YE September 2023,11433.79
New South Wales,YE December 2023,11458.00
New South Wales,YE March 2024,12270.46
New South Wales,YE June 2024,12452.37
New South Wales,YE September 2024,12103.49
New South Wales,YE December 2024,12441.09
New South Wales,YE March 2025,12105.83
New South Wales,YE June 2025,12827.75
Victoria,YE December 2019,6544.20
Victoria,YE March 2020,6569.74
Victoria,YE June 2020,5901.66
Victoria,YE September 2020,5225.05
Victoria,YE December 2020,4884.44
Victoria,YE March 2021,4742.03
Victoria,YE June 2021,5445.41
Victoria,YE September 2021,5729.75
Victoria,YE December 2021,6405.17
Victoria,YE March 2022,7079.86
Victoria,YE June 2022,7674.71
Victoria,YE September 2022,9197.78
Victoria,YE December 2022,9994.87
Victoria,YE March 2023,10333.77
Victoria,YE June 2023,10454.40
Victoria,YE September 2023,10522.97
Victoria,YE December 2023,10654.06
Victoria,YE March 2024,11188.59
Victoria,YE June 2024,11010.02
Victoria,YE September 2024,10816.01
Victoria,YE December 2024,10818.00
Victoria,YE March 2025,10836.20
Victoria,YE June 2025,12020.80
Queensland,YE December 2019,4508.15
Queensland,YE March 2020,4686.49
Queensland,YE June 2020,4373.86
Queensland,YE September 2020,4197.31
Queensland,YE December 2020,4002.90
Queensland,YE March 2021,3862.91
Queensland,YE June 2021,4441.23
Queensland,YE September 2021,4900.76
Queensland,YE December 2021,4791.96
Queensland,YE March 2022,5153.77
Queensland,YE June 2022,5592.29
Queensland,YE September 2022,5870.29
Queensland,YE December 2022,6789.99
Queensland,YE March 2023,7209.82
Queensland,YE June 2023,7212.34
Queensland,YE September 2023,7504.98
Queensland,YE December 2023,7324.71
Queensland,YE March 2024,7147.50
Queensland,YE June 2024,6906.18
Queensland,YE September 2024,6930.90
Queensland,YE December 2024,7186.48
Queensland,YE March 2025,7439.04
Queensland,YE June 2025,8324.29
South Australia,YE December 2019,1221.89
South Australia,YE March 2020,1284.11
South Australia,YE June 2020,1182.84
South Australia,YE September 2020,1193.72
South Australia,YE December 2020,1154.09
South Australia,YE March 2021,1183.79
South Australia,YE June 2021,1428.04
South Australia,YE September 2021,1591.16
South Australia,YE December 2021,1784.03
South Australia,YE March 2022,1746.21
South Australia,YE June 2022,1755.07
South Australia,YE September 2022,1836.57
South Australia,YE December 2022,1914.27
South Australia,YE March 2023,2055.72
South Australia,YE June 2023,2217.74
South Australia,YE September 2023,2249.65
South Australia,YE December 2023,2269.49
South Australia,YE March 2024,2342.11
South Australia,YE June 2024,2201.64
South Australia,YE September 2024,2174.29
South Australia,YE December 2024,2163.90
South Australia,YE March 2025,2185.17
South Australia,YE June 2025,2371.17
Western Australia,YE December 2019,2492.53
Western Australia,YE March 2020,2557.05
Western Australia,YE June 2020,2440.57
Western Australia,YE September 2020,2820.71
Western Australia,YE December 2020,2789.24
Western Australia,YE March 2021,2800.38
Western Australia,YE June 2021,2986.39
Western Australia,YE September 2021,2692.42
Western Australia,YE December 2021,2834.61
Western Australia,YE March 2022,2906.78
Western Australia,YE June 2022,3031.83
Western Australia,YE September 2022,3341.37
Western Australia,YE December 2022,3575.56
Western Australia,YE March 2023,3866.28
Western Australia,YE June 2023,4073.75
Western Australia,YE September 2023,4203.98
Western Australia,YE December 2023,4181.89
Western Australia,YE March 2024,4572.71
Western Australia,YE June 2024,5022.50
Western Australia,YE September 2024,5017.46
Western Australia,YE December 2024,5024.37
Western Australia,YE March 2025,4697.51
Western Australia,YE June 2025,4340.00
Tasmania,YE December 2019,420.20
Tasmania,YE March 2020,425.88
Tasmania,YE June 2020,456.20
Tasmania,YE September 2020,458.15
Tasmania,YE December 2020,477.36
Tasmania,YE March 2021,507.18
Tasmania,YE June 2021,519.87
Tasmania,YE September 2021,569.19
Tasmania,YE December 2021,611.97
Tasmania,YE March 2022,633.06
Tasmania,YE June 2022,667.48
Tasmania,YE September 2022,675.47
Tasmania,YE December 2022,712.09
Tasmania,YE March 2023,664.64
Tasmania,YE June 2023,686.42
Tasmania,YE September 2023,681.55
Tasmania,YE December 2023,733.96
Tasmania,YE March 2024,759.22
Tasmania,YE June 2024,709.71
Tasmania,YE September 2024,731.87
Tasmania,YE December 2024,726.50
Tasmania,YE March 2025,730.05
Tasmania,YE June 2025,742.99
Northern Territory,YE December 2019,66.53
Northern Territory,YE March 2020,70.46
Northern Territory,YE June 2020,67.15
Northern Territory,YE September 2020,72.81
Northern Territory,YE December 2020,95.59
Northern Territory,YE March 2021,91.32
Northern Territory,YE June 2021,120.85
Northern Territory,YE September 2021,112.72
Northern Territory,YE December 2021,98.92
Northern Territory,YE March 2022,101.25
Northern Territory,YE June 2022,81.27
Northern Territory,YE September 2022,106.42
Northern Territory,YE December 2022,118.80
Northern Territory,YE March 2023,114.26
Northern Territory,YE June 2023,132.69
Northern Territory,YE September 2023,115.71
Northern Territory,YE December 2023,125.61
Northern Territory,YE March 2024,186.24
Northern Territory,YE June 2024,173.21
Northern Territory,YE September 2024,215.37
Northern Territory,YE December 2024,210.35
Northern Territory,YE March 2025,182.63
Northern Territory,YE June 2025,233.58
ACT,YE December 2019,243.48
ACT,YE March 2020,265.98
ACT,YE June 2020,227.27
ACT,YE September 2020,194.92
ACT,YE December 2020,176.26
ACT,YE March 2021,181.55
ACT,YE June 2021,204.88
ACT,YE September 2021,205.58
ACT,YE December 2021,236.99
ACT,YE March 2022,264.98
ACT,YE June 2022,293.37
ACT,YE September 2022,348.58
ACT,YE December 2022,448.88
ACT,YE March 2023,486.38
ACT,YE June 2023,516.53
ACT,YE September 2023,596.96
ACT,YE December 2023,535.10
ACT,YE March 2024,453.49
ACT,YE June 2024,406.85
ACT,YE September 2024,297.87
ACT,YE December 2024,279.74
ACT,YE March 2025,332.23
ACT,YE June 2025,379.18